# Generated by tools/starfield/wgsn.py; do not edit by hand. Display-only data
# (CONVENTIONS 13.6). Star names: IAU WGSN (the IAU Catalog of Star Names),
# joined by HR number to the Bright Star Catalogue. names.txt wins where both
# name a star. hr|hip|name (name empty: the star keeps its names.txt name).
7150|93085|Jian
7157|92862|Niandao
7176|93244|Arin-majlep
7178|93194|
7194|93506|
7203|9353|Zibbatu
7217|93683|Alqiladah
7228|104382|Polaris Australis
7235|93747|
7242|94005|Qedty
7254|94114|Meridiana
7259|94160|Alqubba
7264|94141|
7298|94481|Aladfar
7310|94376|
7314|94713|Ninnisig
7337|95241|
7340|95168|Kenemu
7343|95294|
7348|95347|
7377|95501|Guqi
7405|95771|Anser
7417|95947|
7462|96100|Alsafi
7474|96665|Hru
7479|96757|Sham
7488|96837|Shakh
7525|97278|
7528|97165|
7536|97365|Zuoqi
7557|97649|
7570|97804|Pagru
7595|97938|Libertas
7597|98066|Terebellum
7602|98036|
7615|98110|Almighzal
7635|98337|Telum
7650|98688|Gouguo
7669|98823|Tianfu
7747|100027|Sukhurmashu
7754|100064|
7773|100310|Alshat
7776|100345|
7790|100751|
7796|100453|
7852|101421|Aldulfin
7882|101769|
7906|101958|
7924|102098|
7947|102531|Dhanishta
7949|102488|
7950|102618|
8030|103527|Musica
8075|104139|Udang
8098|104538|Protome
8115|104732|Tianjinnan
8123|104858|Tepennekhet
8130|104887|Enduri Senggu
8131|104987|
8135|105140|Aerostaticus
8162|105199|
8232|106278|
8238|106032|
8264|106786|Bunda
8278|106985|
8301|107136|Azelfafage
8305|107380|Baijiu
8308|107315|
8316|107259|Garnet Star
8322|107556|
8353|108085|Aldhanab
8414|109074|
8417|108917|Kurhah
8425|109268|
8430|109176|Jiu
8450|109427|
8454|109410|Neichu
8499|110003|
8502|110130|Lang-Exster
8518|110395|
8538|110538|Alsamaka
8576|111188|Tiangang
8585|111169|Stellio
8597|111497|Fenmu
8610|111710|Situla
8634|112029|
8636|112122|
8650|112158|
8665|112447|Tugongli
8667|112440|Ligong
8679|112716|Lintangkumba
8684|112748|
8698|112961|Shatabhisha
8709|113136|
8717|113186|Leidian
8726|113288|Tengshe
8728|113368|
8729|113357|Helvetios
8762|113726|Alfarasalkamil
8773|113889|Fumalsamakah
8775|113881|
8781|113963|
8812|114341|Safina
8830|114570|Honores
8852|114971|Yunyu
8880|115250|Salm
8905|115623|Alkarab
8930|116076|Veritate
8961|116584|Udkadua
8965|116631|Rasalnaqa
8969|116771|Puwuh Atarung
8974|116727|
8976|116805|Kaffalmusalsala
9072|118268|Pili
9098|301|Hydor
