# Generated by tools/starfield/build.py; do not edit by hand.
# Display-only data (CONVENTIONS 13.6). Provenance: docs/THIRD_PARTY.md,
# section "Star field and constellations".
# IAU constellation boundaries (Delporte 1930), mean equator and equinox of
# B1875.0: abbr|part|corners as RA seconds of time,Dec arcminutes.
# Every edge is an arc of an hour circle or of a parallel; the last corner
# joins the first. Octans' three plotting points at the south pole (added
# by the digital transcription, not boundary corners) are removed.
Cha||27600,-4950 49200,-4950 49200,-4500 40500,-4500 32520,-4500 27600,-4500
Cir||48600,-3840 48600,-3900 49200,-3900 49200,-4200 53100,-4200 53100,-4050 53700,-4050 53700,-3815 54600,-3815 54600,-3660 55200,-3660 55200,-3600 55200,-3300 54180,-3300 52320,-3300 52320,-3840
Col||18000,-2580 18000,-1635 22020,-1635 22020,-1980 23700,-1980 23700,-2580 21600,-2580
Com||42720,840 42720,1740 43200,1740 43200,2040 44400,2040 44400,1920 47700,1920 47700,1710 48600,1710 48600,900 46200,900 46200,840
CrA||64200,-2220 69000,-2220 69000,-2730 64800,-2730 64200,-2730
CrB||54660,1560 54660,1980 55560,1980 55560,2400 56700,2400 58800,2400 58800,1620 58200,1620 58200,1560 57720,1560
Crv||46200,-660 42600,-660 42600,-1470 45300,-1470 45300,-1320 46200,-1320
Crt||38700,-360 38700,-660 38700,-1140 39000,-1140 39000,-1470 42600,-1470 42600,-660 42600,-360 41460,-360
Cru||42600,-3300 42600,-3840 46200,-3840 46200,-3300
Cyg||69330,1650 69330,1800 69690,1800 69690,2190 69840,2190 69840,2610 69000,2610 69000,2850 68700,2850 68700,3330 69900,3330 69900,3480 71160,3480 71160,3570 72000,3570 73932,3570 73932,3655 74160,3655 74160,3290 79080,3290 79080,3165 79080,2640 78870,2640 78870,2625 78750,2625 78750,2160 78240,2160 78240,1680 77100,1680 75300,1680 75300,1740 70800,1740 70800,1650
Del||73920,120 73080,120 73080,510 72510,510 72510,945 72900,945 72900,1230 74040,1230 74040,1170 75780,1170 75780,710 75150,710 75150,360 75000,360 75000,120
Dor||13800,-3190 14400,-3190 14400,-3390 15600,-3390 15600,-3540 16500,-3540 16500,-4050 16500,-4200 23700,-4200 23700,-3840 21600,-3840 21600,-3660 19800,-3660 19800,-3450 18000,-3450 18000,-3240 16200,-3240 16200,-2940 15360,-2940 14700,-2940 14700,-3060 13800,-3060
Dra||33000,4410 33000,4920 38400,4920 38400,4800 41400,4800 41400,4620 46800,4620 46800,4200 50400,4200 50400,3960 56400,3960 56400,4200 59520,4200 59520,4500 63000,4500 63000,4800 64800,4800 64800,5160 75600,5160 75600,4800 72600,4800 72600,4500 74400,4500 74400,4020 73500,4020 73500,3690 72000,3690 72000,3570 71160,3570 71160,3480 69900,3480 69900,3330 68700,3330 68700,2850 65640,2850 65640,3030 61200,3030 61200,3090 56700,3090 56700,3180 54900,3180 54900,3330 51900,3330 51900,3780 48600,3780 48600,3840 43200,3840 43200,3990 40800,3990 40800,4410
Equ||75000,120 75000,360 75150,360 75150,710 75780,710 76020,710 76020,750 76800,750 76800,120
Eri||12900,0 16620,0 16800,0 16800,-240 18300,-240 18300,-660 17700,-660 17700,-870 17400,-870 17400,-1635 16920,-1635 16920,-1800 16500,-1800 16500,-2220 15360,-2220 15360,-2400 13920,-2400 13920,-2640 12300,-2640 12300,-2760 10800,-2760 10800,-2940 9600,-2940 9600,-3060 8700,-3060 8700,-3240 7800,-3240 7800,-3510 4800,-3510 4800,-3210 5700,-3210 5700,-3090 6600,-3090 6600,-2890 8400,-2890 8400,-2400 10800,-2400 10800,-2375 12600,-2375 12600,-2160 13500,-2160 13500,-1463 9540,-1463 9540,-105 11820,-105 12900,-105
For||6000,-1463 9540,-1463 13500,-1463 13500,-2160 12600,-2160 12600,-2375 10800,-2375 10800,-2400 8400,-2400 6000,-2400 6000,-1530
Gem||22710,720 22710,1050 22380,1050 22380,1290 21180,1290 21180,1370 21180,1680 23520,1680 23520,2130 26520,2130 27900,2130 27900,2010 28800,2010 28800,1680 28380,1680 28380,1200 28110,1200 28110,810 27000,810 27000,750 25200,750 25200,600 24960,600 24960,720
Gru||76800,-2220 76800,-2730 76800,-3000 79200,-3000 79200,-3420 84000,-3420 84000,-2400 84000,-2220 82800,-2220
Her||58560,240 57900,240 57900,960 57300,960 57300,1320 57720,1320 57720,1560 58200,1560 58200,1620 58800,1620 58800,2400 56700,2400 56700,3090 61200,3090 61200,3030 65640,3030 65640,2850 65430,2850 65430,1800 66120,1800 66120,1560 67920,1560 67920,1530 67920,1265 67920,1110 67920,720 67184,720 65700,720 65700,860 62100,860 62100,770 60300,770 60300,240
Hor||15360,-2400 15360,-2940 14700,-2940 14700,-3060 13800,-3060 13800,-3190 12600,-3190 12600,-3450 11520,-3450 11520,-4050 7800,-4050 7800,-3510 7800,-3240 8700,-3240 8700,-3060 9600,-3060 9600,-2940 10800,-2940 10800,-2760 12300,-2760 12300,-2640 13920,-2640 13920,-2400
Hya||29100,0 29100,420 33300,420 34500,420 34500,0 34500,-660 38700,-660 38700,-1140 39000,-1140 39000,-1470 42600,-1470 45300,-1470 45300,-1320 46200,-1320 51300,-1320 51300,-1470 53700,-1470 53700,-1770 45300,-1770 45300,-1980 44100,-1980 44100,-2100 39600,-2100 39000,-2100 39000,-1870 38100,-1870 38100,-1750 36900,-1750 36900,-1590 35100,-1590 35100,-1440 33720,-1440 32700,-1440 32700,-1140 30900,-1140 30900,-1020 30120,-1020 30120,-660 29100,-660
